dropped_target,remaining_targets,selected_k,selected_cumulative_variance_fraction,panel,analysis_role,positive_pairs,total_pairs,full_continuous_spearman,full_roc_auc,full_average_precision,normalized_low_mode_continuous_spearman,normalized_low_mode_minus_full_continuous_spearman,normalized_low_mode_roc_auc,normalized_low_mode_minus_full_roc_auc,normalized_low_mode_average_precision,normalized_low_mode_minus_full_average_precision,spectral_kernel_continuous_spearman,spectral_kernel_minus_full_continuous_spearman,spectral_kernel_roc_auc,spectral_kernel_minus_full_roc_auc,spectral_kernel_average_precision,spectral_kernel_minus_full_average_precision
MAPK14,19,5,0.529740453842526,DAVIS,locked_no_retuning_evaluation,18,171,0.302231982144143,0.734567901234568,0.309086360300568,0.325919792641659,0.023687810497516,0.761074800290487,0.0265068990559186,0.304102729414995,-0.00498363088557296,0.324047807617539,0.0218158254733962,0.761437908496732,0.026870007262164,0.339583046704132,0.0304966864035645
MAPK14,19,5,0.529740453842526,PKIS2,locked_no_retuning_evaluation,18,171,0.301130390956872,0.712418300653595,0.305736530893926,0.308354333165335,0.00722394220846229,0.731663035584604,0.0192447349310094,0.280190812534942,-0.0255457183589837,0.309703122375021,0.00857273141814863,0.739288307915759,0.0268700072621642,0.328170690577053,0.0224341596831274
MAPK14,19,5,0.529740453842526,KiRHub,locked_no_retuning_evaluation,18,171,0.335598915208678,0.735657225853304,0.289063005081312,0.369541843665251,0.0339429284565724,0.729847494553377,-0.00580973129992735,0.257775589273848,-0.0312874158074644,0.366853865169079,0.0312549499604003,0.733478576615831,-0.0021786492374728,0.296800732261785,0.00773772718047266
MAPKAPK2,19,5,0.54100306423099,PKIS1,post_hoc_discovery,18,171,0.151498788009696,0.640522875816993,0.324255795002587,0.168313053495572,0.0168142654858761,0.649237472766884,0.00871459694989107,0.282972701206851,-0.0412830937957361,0.170045839633283,0.018547051623587,0.657952069716776,0.0174291938997821,0.356796842986125,0.0325410479835378
MAPKAPK2,19,5,0.54100306423099,DAVIS,locked_no_retuning_evaluation,18,171,0.263465092279262,0.754538852578068,0.35327712573928,0.282952936376509,0.0194878440972472,0.77196804647785,0.0174291938997821,0.3394197918525,-0.0138573338867797,0.272769817841457,0.00930472556219547,0.769426289034132,0.0148874364560638,0.361151803712664,0.00787467797338415
MAPKAPK2,19,5,0.54100306423099,PKIS2,locked_no_retuning_evaluation,18,171,0.266469868241054,0.736746550472041,0.328488748644877,0.273482612139103,0.00701274389804879,0.743645606390704,0.0068990559186638,0.300885514188587,-0.0276032344562901,0.266803465572275,0.000333597331221291,0.748729121278141,0.0119825708061002,0.342623829221832,0.0141350805769546
MAPKAPK2,19,5,0.54100306423099,KiRHub,locked_no_retuning_evaluation,18,171,0.308896728826169,0.74800290486565,0.311807894022025,0.342448460412317,0.0335517315861473,0.782135076252723,0.0341321713870734,0.323281324062426,0.0114734300404007,0.331936544507644,0.0230398156814746,0.773420479302832,0.0254175744371823,0.330345380364063,0.018537486342038
MET,19,5,0.52278220800754,PKIS1,post_hoc_discovery,18,171,0.215647874817001,0.652868554829339,0.322239832598819,0.254469964240286,0.0388220894232847,0.66957153231663,0.0167029774872912,0.286023107320192,-0.0362167252786273,0.228629370965032,0.0129814961480308,0.667029774872912,0.014161220043573,0.316670622709802,-0.00556920988901771
MET,19,5,0.52278220800754,DAVIS,locked_no_retuning_evaluation,18,171,0.329308565531476,0.750544662309368,0.37022456902812,0.371529027767778,0.0422204622363022,0.788671023965142,0.0381263616557734,0.451132140967749,0.0809075719396288,0.330114959080327,0.000806393548851647,0.771604938271605,0.0210602759622367,0.393875821798427,0.0236512527703069
MET,19,5,0.52278220800754,PKIS2,locked_no_retuning_evaluation,18,171,0.2937528499772,0.714960058097313,0.3259280658239,0.325511795905633,0.0317589459284325,0.737472766884532,0.0225127087872186,0.302392515916557,-0.0235355499073434,0.288482492140063,-0.00527035783713736,0.728395061728395,0.0134350036310821,0.318712652258357,-0.00721541356554345
