calibration_ligands,repetition,covariance_estimator,selected_k,selected_cumulative_trace_fraction,geometry_spearman_to_full,locked_k,mean_squared_canonical_correlation,minimum_canonical_correlation,maximum_principal_angle_degrees,sample_full_roc_auc,sample_full_average_precision,selected_kernel_roc_auc,selected_kernel_average_precision,selected_unit_diagonal_roc_auc,selected_unit_diagonal_average_precision,locked_kernel_roc_auc,locked_kernel_average_precision,locked_unit_diagonal_roc_auc,locked_unit_diagonal_average_precision
200,143,empirical,5,0.542442183404039,0.906759918994695,5,0.749659918195602,0.0326165981518418,88.1308750747955,0.723809523809524,0.365347450701957,0.712,0.243130214009708,0.704,0.216059300920623,0.712,0.243130214009708,0.704,0.216059300920623
200,143,OAS,5,0.514871196941268,0.908715943436252,5,0.750046892951722,0.0306788531805263,88.2419553426065,0.722666666666667,0.365787172847878,0.712380952380952,0.241035972400517,0.706285714285714,0.216883421912154,0.712380952380952,0.241035972400517,0.706285714285714,0.216883421912154
200,144,empirical,5,0.540964700593879,0.898146763068229,5,0.828480323312063,0.63930471804052,50.2600064070518,0.701714285714286,0.292342345614667,0.706666666666667,0.309125066753615,0.71352380952381,0.284996336165229,0.706666666666667,0.309125066753615,0.71352380952381,0.284996336165229
200,144,OAS,5,0.51232724904231,0.899623404059888,5,0.827767642899721,0.63844939892176,50.3237079795648,0.702857142857143,0.316399105396191,0.708571428571429,0.310480343749985,0.713904761904762,0.282613659637035,0.708571428571429,0.310480343749985,0.713904761904762,0.282613659637035
200,145,empirical,5,0.534774479937216,0.910825930445661,5,0.729460715354993,0.0436513666280033,87.4981659763524,0.708190476190476,0.292679681173772,0.694095238095238,0.300742120466176,0.694857142857143,0.237264280277952,0.694095238095238,0.300742120466176,0.694857142857143,0.237264280277952
200,145,OAS,5,0.505954510070681,0.911034129827186,5,0.729478624558998,0.0493213013930021,87.1729506234118,0.710095238095238,0.30185972370903,0.696380952380952,0.255975402098442,0.692190476190476,0.232035344042804,0.696380952380952,0.255975402098442,0.692190476190476,0.232035344042804
200,146,empirical,5,0.5320291904437,0.919587800216073,5,0.805198367965942,0.595146923956728,53.4768933167889,0.671619047619048,0.284209578418063,0.624,0.250423375590957,0.605333333333333,0.207456808154388,0.624,0.250423375590957,0.605333333333333,0.207456808154388
200,146,OAS,5,0.506030003582477,0.920712776706163,5,0.80875334210457,0.612838592021861,52.2049641281283,0.67352380952381,0.27885742663642,0.622857142857143,0.245304350938832,0.604571428571429,0.205393854308116,0.622857142857143,0.245304350938832,0.604571428571429,0.205393854308116
200,147,empirical,5,0.556737350228063,0.946730701098296,5,0.87385133938254,0.788952802358725,37.9122433352423,0.749714285714286,0.269363412406884,0.750857142857143,0.274113175057881,0.744380952380952,0.221594541464646,0.750857142857143,0.274113175057881,0.744380952380952,0.221594541464646
200,147,OAS,5,0.529672015021221,0.947857427163021,5,0.874524613613029,0.789912590477246,37.8226563105337,0.749333333333333,0.265112505157563,0.749714285714286,0.235814956997135,0.743619047619048,0.220606009218613,0.749714285714286,0.235814956997135,0.743619047619048,0.220606009218613
200,148,empirical,5,0.550927794610532,0.891011997708057,5,0.848151849037859,0.827878569925533,34.1185714122456,0.685714285714286,0.303900958106778,0.720380952380952,0.323261991540449,0.716190476190476,0.270762189063111,0.720380952380952,0.323261991540449,0.716190476190476,0.270762189063111
200,148,OAS,5,0.523148246692043,0.892640851692932,5,0.849622061260365,0.8284478135691,34.0603804707183,0.68647619047619,0.304873061072711,0.724571428571429,0.325455117682645,0.717333333333333,0.271110734432653,0.724571428571429,0.325455117682645,0.717333333333333,0.271110734432653
