analysis,dataset,support,transform,deleted_target,estimate
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,center_then_correlation,LCK,0.3306327315615241
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,center_then_correlation,MAP2K1,0.25805154597724256
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,center_then_correlation,MAPK14,0.2769624596249983
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,center_then_correlation,MET,0.3009830726548992
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,center_then_correlation,PLK1,0.2285861713106295
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,center_then_correlation,PTK2,0.25704635921354185
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,center_then_correlation,ROCK1,0.2094775709326793
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,center_then_correlation,SRC,0.32376730596544834
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,z_before_center,ABL1,0.19715063058716312
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,z_before_center,AKT1,0.20375805824722232
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,z_before_center,AKT2,0.2330357980512779
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,z_before_center,CDK2,0.21927479125621538
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,z_before_center,CSF1R,0.26109391124871
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,z_before_center,EGFR,0.2503953734603889
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,z_before_center,FGFR1,0.25787731360486776
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,z_before_center,IGF1R,0.23985096430916863
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,z_before_center,JAK2,0.2397370431426159
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,z_before_center,KDR,0.19283837937088708
